Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.6213,0.1894,4.3725,0.1624
2,1.8352,0.5000,4.3881,0.1640
3,1.9866,0.3102,1.8020,0.3800
4,1.5597,0.2500,1.7403,0.3904
5,1.6972,0.3877,0.9109,0.7968
6,0.8456,0.8750,0.9120,0.7992
7,1.4942,0.4637,0.8869,0.7200
8,1.2169,0.7500,0.8777,0.7288
9,1.3706,0.5233,1.5622,0.4856
10,1.6746,0.5000,1.7756,0.4592
11,1.2810,0.5473,0.9442,0.6288
12,1.7953,0.2500,0.9400,0.6328
13,1.1953,0.5641,0.8608,0.6488
14,1.2928,0.6250,0.8844,0.6280
15,1.1850,0.5844,0.7612,0.7280
16,0.6943,0.7500,0.7539,0.7248
17,1.0469,0.6243,0.5846,0.7736
18,1.0252,0.7500,0.5703,0.7896
19,0.9928,0.6492,0.5674,0.7856
20,1.0491,0.3750,0.5297,0.8064
21,0.9821,0.6454,0.4087,0.8776
22,0.8284,0.6250,0.3821,0.8784
23,0.9149,0.6831,0.6687,0.7600
24,0.7845,0.7500,0.6681,0.7592
25,0.8608,0.6998,0.5092,0.8344
26,1.0640,0.6250,0.4756,0.8448
27,0.8993,0.6700,0.6134,0.7600
28,0.2633,1.0000,0.7312,0.7000
29,0.8922,0.6836,0.3224,0.8992
30,0.6859,0.7500,0.3205,0.9016
31,0.8252,0.7136,0.3181,0.9008
32,1.7623,0.3750,0.3106,0.9056
33,0.8326,0.7057,0.5025,0.8400
34,0.3186,0.8750,0.5265,0.8336
35,0.7702,0.7306,0.2991,0.8912
36,0.5606,0.8750,0.3142,0.8784
37,0.7584,0.7303,0.3851,0.8664
38,0.6447,0.7500,0.3779,0.8680
39,0.8301,0.7078,0.3523,0.8856
40,0.3891,0.8750,0.3583,0.8832
41,0.7471,0.7380,0.2881,0.9072
42,0.3290,0.8750,0.2818,0.9128
43,0.7276,0.7528,0.4317,0.8280
44,0.4218,0.8750,0.4683,0.8184
45,0.7681,0.7302,0.2348,0.9248
46,1.2496,0.6250,0.2324,0.9264
47,0.7442,0.7370,0.2526,0.9104
48,1.2904,0.6250,0.2565,0.9088
49,0.7232,0.7460,0.2169,0.9328
50,0.5313,0.7500,0.2227,0.9312
51,0.6562,0.7726,0.2611,0.9104
52,1.5866,0.3750,0.2899,0.8984
53,0.6713,0.7664,0.2276,0.9272
54,0.6626,0.6250,0.2283,0.9272
55,0.6982,0.7612,0.4881,0.8520
56,0.3165,1.0000,0.4851,0.8544
57,0.6841,0.7629,0.1892,0.9496
58,1.1545,0.6250,0.1869,0.9496
59,0.6718,0.7702,0.2290,0.9352
60,0.6146,0.6250,0.2200,0.9360
61,0.6361,0.7759,0.2329,0.9200
62,0.3714,1.0000,0.2157,0.9248
63,0.6675,0.7753,0.2122,0.9440
64,0.3407,0.8750,0.2101,0.9464
65,0.6172,0.7947,0.1375,0.9640
66,0.3460,0.8750,0.1387,0.9640
67,0.7094,0.7583,0.1755,0.9472
68,0.7002,0.7500,0.1780,0.9440
69,0.6004,0.7958,0.2032,0.9296
70,0.1855,1.0000,0.2207,0.9240
71,0.6077,0.7896,0.1586,0.9472
72,1.3703,0.7500,0.1576,0.9496
73,0.6277,0.7811,0.2065,0.9336
74,0.2623,1.0000,0.2066,0.9344
75,0.6006,0.7872,0.1457,0.9568
76,0.3714,0.8750,0.1479,0.9552
77,0.6050,0.7954,0.1943,0.9464
78,0.6743,0.6250,0.2035,0.9424
79,0.6212,0.7859,0.1404,0.9624
80,0.2047,0.8750,0.1428,0.9624
81,0.5516,0.8113,0.3424,0.8728
82,0.3356,1.0000,0.3310,0.8792
83,0.5964,0.7993,0.1225,0.9616
84,0.2099,0.8750,0.1222,0.9616
85,0.5383,0.8138,0.1135,0.9656
86,0.2596,1.0000,0.1144,0.9656
87,0.6162,0.7851,0.1350,0.9576
88,0.3969,0.8750,0.1347,0.9584
89,0.5423,0.8123,0.1201,0.9752
90,0.0326,1.0000,0.1191,0.9752
91,0.5643,0.8176,0.1172,0.9712
92,0.1801,1.0000,0.1133,0.9712
93,0.5087,0.8226,0.1134,0.9736
94,0.1849,0.8750,0.1111,0.9744
95,0.4821,0.8424,0.2722,0.9056
96,0.1069,1.0000,0.2826,0.9016
97,0.5240,0.8230,0.1821,0.9360
98,0.1417,1.0000,0.1857,0.9368
99,0.4811,0.8412,0.1051,0.9752
100,0.3868,0.7500,0.1052,0.9752
101,0.4964,0.8277,0.0870,0.9824
102,0.5270,0.7500,0.0896,0.9808
103,0.5227,0.8197,1.5908,0.5584
104,0.5454,0.7500,1.5066,0.5720
105,0.5636,0.8015,0.0956,0.9808
106,0.6517,0.7500,0.0992,0.9808
107,0.5042,0.8297,0.0794,0.9808
108,0.4409,0.8750,0.0803,0.9808
109,0.4945,0.8348,0.1024,0.9736
110,0.2140,0.8750,0.1016,0.9744
111,0.4703,0.8390,0.0744,0.9808
112,0.2076,1.0000,0.0732,0.9824
113,0.5007,0.8307,0.1297,0.9560
114,0.6395,0.7500,0.1218,0.9600
115,0.4522,0.8449,0.0778,0.9792
116,0.7418,0.8750,0.0763,0.9808
117,0.4886,0.8353,0.1315,0.9528
118,0.5948,0.8750,0.1458,0.9448
119,0.4501,0.8465,0.0629,0.9832
120,0.9721,0.5000,0.0624,0.9848
121,0.4238,0.8551,0.0572,0.9864
122,0.2412,1.0000,0.0581,0.9864
123,0.4663,0.8440,0.1086,0.9672
124,0.6508,0.6250,0.0975,0.9696
125,0.4479,0.8563,0.0712,0.9832
126,0.1349,0.8750,0.0748,0.9808
127,0.4371,0.8530,0.0676,0.9792
128,0.1599,0.8750,0.0701,0.9792
129,0.4252,0.8523,0.1300,0.9696
130,0.2502,0.8750,0.1311,0.9696
131,0.4264,0.8515,0.0492,0.9888
132,0.5981,0.7500,0.0483,0.9904
133,0.4334,0.8569,0.0594,0.9896
134,0.5851,0.8750,0.0580,0.9880
135,0.5028,0.8383,0.0524,0.9904
136,0.2514,0.8750,0.0520,0.9904
137,0.4212,0.8586,0.0479,0.9920
138,0.2225,1.0000,0.0483,0.9920
139,0.4328,0.8456,0.0501,0.9896
140,0.2734,0.8750,0.0497,0.9912
141,0.3845,0.8669,0.0925,0.9816
142,0.0774,1.0000,0.0977,0.9784
143,0.4570,0.8468,0.0448,0.9944
144,0.1533,0.8750,0.0438,0.9936
145,0.3960,0.8712,0.0512,0.9896
146,0.1565,1.0000,0.0529,0.9896
147,0.4322,0.8581,0.0891,0.9792
148,1.8610,0.6250,0.0917,0.9792
149,0.4133,0.8602,0.0582,0.9928
150,0.1577,1.0000,0.0563,0.9928
